model_name,full_refusal_percentage,combined_refusal_percentage
claude-3-haiku,2.73972602739726,29.45205479452055
claude-3.5-sonnet,0.91324200913242,10.50228310502283
deepseek-chat,0.228310502283105,0.91324200913242
gemini-1.5-flash,1.3824884792626728,10.829493087557603
gemini-1.5-pro,1.1441647597254003,3.8901601830663615
gemma-2-27B,0.45662100456621,10.95890410958904
glm-4-plus,0.4576659038901602,2.517162471395881
gpt-3.5-turbo,1.36986301369863,2.73972602739726
gpt-4o,2.28310502283105,2.968036529680365
gpt-4o-mini,1.5981735159817352,4.337899543378995
llama-3.1-70B,0.45662100456621,2.28310502283105
llama-3.1-8B,2.968036529680365,6.621004566210045
mistral-8x22B,0.0,2.28310502283105
mistral-8x7B,0.228310502283105,5.47945205479452
qwen-2.5-72B,0.228310502283105,2.968036529680365
yi-lightning,0.49627791563275436,1.488833746898263
